state,township,admin3_pcode,vul_score,conflict_score,insecure_pc,insecure_persons,IDPs,population,conflict_affected,pre_ex_vulnerable,vul_pop,vul_pop_score,caseload,caseload_pc,PIN,pc_pin,pc_pop
Kachin,Nawngmun,MMR001017,0.482274429,0.005006539,29.01,552047,87,8705.692807,43.5853948,4198.533029,4198.533029,0.482274429,4285.533029,0.004429494,2532.288666,0.003696292,0.290877329
Kachin,Khaunglanhpu,MMR001018,0.587777199,0.001594667,29.01,552047,0,14052.93033,22.40974791,8259.992025,8259.992025,0.587777199,8259.992025,0.008537464,4713.081138,0.006879517,0.335380666
Kayah,Bawlake,MMR002005,0.359001608,0.047136633,45.27,121953,310,13169.95324,620.7872499,4728.034395,4728.034395,0.359001608,5038.034395,0.015746675,2230.354299,0.008564582,0.169351725
Kayah,Hpasawng,MMR002006,0.390119744,0.004045342,45.27,121953,120,30565.01455,123.6459451,11924.01565,11924.01565,0.390119744,12044.01565,0.037644285,4710.833531,0.018089647,0.154125022
Kayah,Mese,MMR002007,0.511678087,0,45.27,121953,836,7538.637339,0,3857.355534,3857.355534,0.511678087,4693.355534,0.014669361,2624.972597,0.010079921,0.34820253
Kayah,Loikaw,MMR002001,0.24883181,0.459576455,45.27,121953,32880,154754.1349,71121.35674,38507.75149,71121.35674,0.459576455,104001.3567,0.32506241,72522.33605,0.278486483,0.468629391
Kayah,Demoso,MMR002002,0.435523972,0.69183701,45.27,121953,75792,94740.75451,65545.16031,41261.86975,65545.16031,0.69183701,141337.1603,0.441757678,129665.6742,0.497917463,1.368636706
Kayah,Hpruso,MMR002003,0.561630242,0.205882862,45.27,121953,28161,35201.21862,7247.327637,19770.06892,19770.06892,0.561630242,47931.06892,0.149811399,46430.94956,0.178295303,1.319015403
Kayah,Shadaw,MMR002004,0.558323197,0.023731983,45.27,121953,364,8120.2868,192.7105109,4533.744489,4533.744489,0.558323197,4897.744489,0.015308191,2230.879808,0.0085666,0.274729189
Kayin,Hpa-An,MMR003001,0.449355133,0.180658823,29.81,486005,3914,461756.3028,83420.35011,207492.5648,207492.5648,0.449355133,211406.5648,0.193024528,97724.88555,0.148646152,0.211637361
Kayin,Hlaingbwe,MMR003002,0.647413295,0.043326255,29.81,486005,10951,288669.2346,12506.95691,186888.3004,186888.3004,0.647413295,197839.3004,0.180636952,98741.46186,0.150192433,0.342057449
Kayin,Thandaunggyi,MMR003004,0.505504569,0.121634362,29.81,486005,24328,103949.2867,12643.80518,52546.83932,52546.83932,0.505504569,76874.83932,0.070190486,58440.92719,0.088892598,0.56220614
Kayin,Hpapun,MMR003003,0.545504136,0.373207247,29.81,486005,42749,123257,46000.40558,67237.20331,67237.20331,0.545504136,109986.2033,0.10042278,91554.97317,0.139261298,0.742797352
Kayin,Kawkareik,MMR003006,0.517283231,0.281889823,29.81,486005,26976,240336.6926,67748.46772,124322.1409,124322.1409,0.517283231,151298.1409,0.138142598,94113.99353,0.143153741,0.39159228
