State/Region,State/Region Pcode,District, Township ,Township Pcode,,"Population 
(2022 Projected)",,% People with disabilities (Age 5 yrs+),% FEMALE,% CHILDREN  (Age 0-17 yrs),% ADULTS ( Age 18-59yrs),% ELDERS  (Age 60+),"IDPs 
(projection)","Returned, resettled and locally integrated IDPs
(projection)","Non-displaced stateless people in Rakhine
",Rest of the population
Magway,MMR009,Thayet,Sinbaungwe,MMR009017,MMR009017,117212.3488,,0.170275753,0.533390907,0.301329396,0.576877147,0.121793457,0,0,,117212.3488
Magway,MMR009,Pakokku,Pakokku,MMR009018,MMR009018,291599.0534,,0.170275753,0.557370726,0.29758248,0.564213304,0.138204215,24114,4582,,262903.0534
Magway,MMR009,Pakokku,Yesagyo,MMR009019,MMR009019,216678.4559,,0.170275753,0.568900867,0.307462104,0.548851051,0.143686844,16757,3184,,196737.4559
Magway,MMR009,Pakokku,Myaing,MMR009020,MMR009020,226800.541,,0.170275753,0.560314217,0.315640007,0.536090142,0.148269851,15521,2949,,208330.541
Magway,MMR009,Pakokku,Pauk,MMR009021,MMR009021,170553.0521,,0.170275753,0.544772435,0.353593679,0.528577576,0.117828745,17743,3371,,149439.0521
Magway,MMR009,Pakokku,Seikphyu,MMR009022,MMR009022,102300.0198,,0.170275753,0.549336928,0.339049738,0.542957438,0.117992824,11412,2168,,88720.01979
Magway,MMR009,Gangaw,Gangaw,MMR009023,MMR009023,132980.7017,,0.170275753,0.530608947,0.294961127,0.588807722,0.11623115,79955,15191,,37834.70167
Magway,MMR009,Gangaw,Tilin,MMR009024,MMR009024,49721.99928,,0.170275753,0.542135732,0.251066622,0.576112521,0.172820858,18083,3436,,28202.99928
Magway,MMR009,Gangaw,Saw,MMR009025,MMR009025,69541.03261,,0.170275753,0.534715334,0.265732231,0.583011543,0.151256226,31001,5890,,32650.03261
Mandalay,MMR010,Mandalay,Aungmyaythazan,MMR010001,MMR010001,287592.1048,,0.10165983,0.516586268,0.252611204,0.647863784,0.099525012,2876,546,,284170.1048
Mandalay,MMR010,Mandalay,Chanayethazan,MMR010002,MMR010002,213578.5364,,0.10165983,0.531762957,0.22044734,0.673584806,0.105967854,0,0,,213578.5364
Mandalay,MMR010,Mandalay,Mahaaungmyay,MMR010003,MMR010003,259905.3188,,0.10165983,0.519483798,0.248295448,0.660567354,0.091137198,52,10,,259843.3188
Mandalay,MMR010,Mandalay,Chanmyathazi,MMR010004,MMR010004,305589.3494,,0.10165983,0.519488897,0.275117548,0.637017943,0.08786451,3056,581,,301952.3494
Mandalay,MMR010,Mandalay,Pyigyitagon,MMR010005,MMR010005,254379.7842,,0.10165983,0.49568312,0.296566099,0.628909771,0.07452413,51,10,,254318.7842
Mandalay,MMR010,Mandalay,Amarapura,MMR010006,MMR010006,257123.2448,,0.10165983,0.523042127,0.284534931,0.614755005,0.100710064,51,10,,257062.2448
Mandalay,MMR010,Mandalay,Patheingyi,MMR010007,MMR010007,283288.2628,,0.10165983,0.513923888,0.312306161,0.60516505,0.082528789,0,0,,283288.2628
Mandalay,MMR010,Pyinoolwin,Pyinoolwin,MMR010008,MMR010008,274996.5186,,0.10165983,0.503053783,0.288831495,0.623960814,0.087207691,0,0,,274996.5186
Mandalay,MMR010,Pyinoolwin,Madaya,MMR010009,MMR010009,278347.7232,,0.10165983,0.527558923,0.317671654,0.585408999,0.096919347,2783,529,,275035.7232
Mandalay,MMR010,Pyinoolwin,Singu,MMR010010,MMR010010,169738.0282,,0.10165983,0.516141589,0.32218951,0.584910157,0.092900333,0,0,,169738.0282
Mandalay,MMR010,Pyinoolwin,Mogoke,MMR010011,MMR010011,180414.623,,0.10165983,0.496578746,0.321619647,0.579164092,0.099216261,36,7,,180371.623
Mandalay,MMR010,Pyinoolwin,Thabeikkyin,MMR010012,MMR010012,174620.1513,,0.10165983,0.493523556,0.361854498,0.575881789,0.062263713,0,0,,174620.1513
Mandalay,MMR010,Kyaukse,Kyaukse,MMR010013,MMR010013,278800.8742,,0.10165983,0.521125029,0.294168319,0.609555665,0.096276016,0,0,,278800.8742
Mandalay,MMR010,Kyaukse,Sintgaing,MMR010014,MMR010014,161989.9581,,0.10165983,0.526544382,0.275179169,0.615071754,0.109749077,1620,308,,160061.9581
Mandalay,MMR010,Kyaukse,Myittha,MMR010015,MMR010015,212126.596,,0.10165983,0.530615362,0.297277374,0.596385854,0.106336772,0,0,,212126.596
Mandalay,MMR010,Kyaukse,Tada-U,MMR010016,MMR010016,151483.8607,,0.10165983,0.538261061,0.276230746,0.594405103,0.129364151,0,0,,151483.8607
